city_name;city_code;age;sex;measurement_date;value;unit
Ticino;CH07;Less than 5 years old;Total;2010;14641;Number
Ticino;CH07;Less than 5 years old;Females;2016;7220;Number
Ticino;CH07;Less than 5 years old;Males;2016;7637;Number
Ticino;CH07;Less than 5 years old;Total;2016;14857;Number
Ticino;CH07;Less than 5 years old;Females;2022;6425;Number
Ticino;CH07;Less than 5 years old;Males;2022;6653;Number
Ticino;CH07;Less than 5 years old;Total;2022;13078;Number
Cyprus;CY;Less than 5 years old;Females;2004;20359;Number
Cyprus;CY;Less than 5 years old;Males;2004;21435;Number
Cyprus;CY;Less than 5 years old;Total;2004;41794;Number
Cyprus;CY;Less than 5 years old;Females;2010;22311;Number
Cyprus;CY;Less than 5 years old;Males;2010;23707;Number
Cyprus;CY;Less than 5 years old;Total;2010;46018;Number
Cyprus;CY;Less than 5 years old;Females;2016;22913;Number
Cyprus;CY;Less than 5 years old;Males;2016;24459;Number
Cyprus;CY;Less than 5 years old;Total;2016;47372;Number
Cyprus;CY;Less than 5 years old;Females;2022;23517;Number
Cyprus;CY;Less than 5 years old;Males;2022;24794;Number
Cyprus;CY;Less than 5 years old;Total;2022;48311;Number
Kypros;CY0;Less than 5 years old;Females;2004;20359;Number
Kypros;CY0;Less than 5 years old;Males;2004;21435;Number
Kypros;CY0;Less than 5 years old;Total;2004;41794;Number
Kypros;CY0;Less than 5 years old;Females;2010;22311;Number
Kypros;CY0;Less than 5 years old;Males;2010;23707;Number
Kypros;CY0;Less than 5 years old;Total;2010;46018;Number
Kypros;CY0;Less than 5 years old;Females;2016;22913;Number
Kypros;CY0;Less than 5 years old;Males;2016;24459;Number
Kypros;CY0;Less than 5 years old;Total;2016;47372;Number
Kypros;CY0;Less than 5 years old;Females;2022;23517;Number
Kypros;CY0;Less than 5 years old;Males;2022;24794;Number
Kypros;CY0;Less than 5 years old;Total;2022;48311;Number
Kypros;CY00;Less than 5 years old;Females;2004;20359;Number
Kypros;CY00;Less than 5 years old;Males;2004;21435;Number
Kypros;CY00;Less than 5 years old;Total;2004;41794;Number
Kypros;CY00;Less than 5 years old;Females;2010;22311;Number
Kypros;CY00;Less than 5 years old;Males;2010;23707;Number
Kypros;CY00;Less than 5 years old;Total;2010;46018;Number
Kypros;CY00;Less than 5 years old;Females;2016;22913;Number
Kypros;CY00;Less than 5 years old;Males;2016;24459;Number
Kypros;CY00;Less than 5 years old;Total;2016;47372;Number
Kypros;CY00;Less than 5 years old;Females;2022;23517;Number
Kypros;CY00;Less than 5 years old;Males;2022;24794;Number
Kypros;CY00;Less than 5 years old;Total;2022;48311;Number
Praha;CZ01;Less than 5 years old;Females;2004;22380;Number
Praha;CZ01;Less than 5 years old;Males;2004;23710;Number
Praha;CZ01;Less than 5 years old;Total;2004;46090;Number
Praha;CZ01;Less than 5 years old;Females;2010;32165;Number
Praha;CZ01;Less than 5 years old;Males;2010;33745;Number
Praha;CZ01;Less than 5 years old;Total;2010;65910;Number
Praha;CZ01;Less than 5 years old;Females;2016;35033;Number
Praha;CZ01;Less than 5 years old;Males;2016;37028;Number
Praha;CZ01;Less than 5 years old;Total;2016;72061;Number
Praha;CZ01;Less than 5 years old;Females;2022;34084;Number
Praha;CZ01;Less than 5 years old;Males;2022;35944;Number
Praha;CZ01;Less than 5 years old;Total;2022;70028;Number
Severozápad;CZ04;Less than 5 years old;Females;2004;26166;Number
Severozápad;CZ04;Less than 5 years old;Males;2004;27884;Number
Severozápad;CZ04;Less than 5 years old;Total;2004;54050;Number
Severozápad;CZ04;Less than 5 years old;Females;2010;30973;Number
Severozápad;CZ04;Less than 5 years old;Males;2010;32623;Number
Severozápad;CZ04;Less than 5 years old;Total;2010;63596;Number
Severozápad;CZ04;Less than 5 years old;Females;2016;27013;Number
Severozápad;CZ04;Less than 5 years old;Males;2016;28442;Number
Severozápad;CZ04;Less than 5 years old;Total;2016;55455;Number
Severozápad;CZ04;Less than 5 years old;Females;2022;26180;Number
