DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRM,2022,348830,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRM0,2022,348830,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY,2022,2225088,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY1,2022,407810,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY2,2022,352205,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY3,2022,296058,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY4,2022,869993,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRY5,2022,299022,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR,2022,3862305,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR0,2022,3862305,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR02,2022,1013572,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR03,2022,1296210,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR05,2022,766824,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HR06,2022,785699,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,HU,2022,9689010,
