DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG314,2022,4574,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG315,2022,4124,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG32,2022,14660,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG321,2022,4623,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG322,2022,2018,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG323,2022,2810,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG324,2022,2409,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG325,2022,2800,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG33,2022,14560,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG331,2022,3778,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG332,2022,4711,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG333,2022,3374,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG334,2022,2697,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG34,2022,19594,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG341,2022,7637,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG342,2022,3521,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG343,2022,3339,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG344,2022,5097,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG4,2022,42344,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG41,2022,20228,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG411,2022,1306,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG412,2022,7052,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG413,2022,6441,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG414,2022,2380,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG415,2022,3049,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG42,2022,22116,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG421,2022,5904,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG422,2022,5466,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG423,2022,4390,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG424,2022,3190,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG425,2022,3166,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH,2022,39860,
