DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE35,2008,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE35,2009,9,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE35,2010,9,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE351,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE351,2009,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE351,2010,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE352,2008,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE352,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE352,2010,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE353,2008,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE353,2009,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE353,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG,2008,172,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG,2009,150,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG,2010,147,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG3,2008,79,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG3,2009,77,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG3,2010,93,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG31,2008,20,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG31,2009,19,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG31,2010,28,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG311,2008,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG311,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG311,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG312,2008,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG312,2009,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BG312,2010,4,
